id,size,group,
American,942,1,
Andhra,577,1,
Arabian,589,1,
Asian,1271,1,
BBQ,378,1,
Bakery,2316,1,
Bengali,487,1,
Beverages,2520,1,
Biryani,3636,1,
Burger,1741,1,
Cafe,2839,1,
Chettinad,194,1,
Chinese,13457,1,
Continental,4035,1,
Desserts,4965,1,
European,639,1,
Fast Food,8787,1,
Finger Food,763,1,
Healthy Food,1063,1,
Hyderabadi,339,1,
Ice Cream,1536,1,
Indian,700,1,
Italian,3777,1,
Japanese,314,1,
Juices,659,1,
Kebab,821,1,
Kerala,285,1,
Lebanese,464,1,
Maharashtrian,434,1,
Malwani,204,1,
Mangalorean,148,1,
Mediterranean,472,1,
Mexican,879,1,
Mithai,832,1,
Momos,1955,1,
Mughlai,3333,1,
North Indian,16179,1,
Pizza,2645,1,
Rajasthani,176,1,
Rolls,1282,1,
Salad,1527,1,
Sandwich,636,1,
Seafood,1673,1,
South Indian,4426,1,
Street Food,2489,1,
Tea,249,1,
Thai,1297,1,
Tibetan,241,1,